text,all_hashtags,lang,hashtag
"Pikaboo!!! 

#ThursdayMotivation https://t.co/BAXvOd0rxW",['ThursdayMotivation'],ht,#thursdaythoughts
"#GodNightThursday
Those Who Contemplate on the QUALITIES OF GOD,
they get the benefit of Dhyaan Yagya as well as Yog is done.
~ Supreme SatGuru Rampal Ji Maharaj
Visit Sant Rampal Ji Maharaj YouTube Channel For More Information 
#ThursdayMotivation https://t.co/vd9mwTTIOz","['GodNightThursday', 'ThursdayMotivation']",en,#thursdaythoughts
finally finished my biggest project of 2019.A dream home for my parents.A token of appreciation to them for I am because they are. A multi million home.😭😭 Um so happy and humbled.I grew up with nothing but jst a dream to become.#BlackchildItspossible #ThursdayMotivation #sjava https://t.co/i2rqb4ZkDG,"['BlackchildItspossible', 'ThursdayMotivation', 'sjava']",en,#thursdaythoughts
"Time to say goodbye the legend himself 🔥🔥

#thursdayvibes #ThursdayMotivation https://t.co/SRh6Nu90Ss","['thursdayvibes', 'ThursdayMotivation']",en,#thursdaythoughts
What is your favorite #WrestleMania entrance?! 👸🏼 #ThursdayMotivation https://t.co/UswHQWpYHq,"['WrestleMania', 'ThursdayMotivation']",en,#thursdaythoughts
And the the jewel came in the way 🤣 #ThursdayMotivation https://t.co/WhHRcyx4yJ,['ThursdayMotivation'],en,#thursdaythoughts
Good Thursday morning #ThursdayMotivation https://t.co/sliY7E4QRc,['ThursdayMotivation'],en,#thursdaythoughts
"Creativity is intelligence having fun - Albert Einstein 

#ThursdayMotivation https://t.co/ENVUQxpsfR",['ThursdayMotivation'],en,#thursdaythoughts
"Good Thursday Morning 🌞
#ThursdayMotivation 

It's Thirsty Thursday friends and the weekend is just around the corner. Happy Friday Eve! 💖 https://t.co/1xrMudZSvK",['ThursdayMotivation'],en,#thursdaythoughts
Oh my...  #ThursdayMotivation https://t.co/P3QMGp2xoj,['ThursdayMotivation'],en,#thursdaythoughts
#ThursdayMotivation https://t.co/05D23vQOwC,['ThursdayMotivation'],qme,#thursdaythoughts
