text,all_hashtags,lang,hashtag
"Tap the ❤️ to get the 🏆🪽

#TheGameAwards (🇺🇸 only) https://t.co/waZWsOJpbc",['TheGameAwards'],en,#TheGameAwards
"Like this post for a very special surprise…

#TheGameAwards https://t.co/GXde4r7BmC",['TheGameAwards'],en,#TheGameAwards
"BEST ADAPTATION FALLOUT??? 
ARCANE DIDN'T WIN BEST ADAPTATION???
WHY????
WE WERE SO SO ROBBED HERE 
#TheGameAwards https://t.co/WN8BTjgbCz",['TheGameAwards'],en,#TheGameAwards
NO CLICKBAIT NEW LIKE ANIMATION #TheGameAwards https://t.co/dwgCqFmWFz,['TheGameAwards'],en,#TheGameAwards
That’s how u start the game awards off right #TheGameAwards https://t.co/lMFbrXeWxc,['TheGameAwards'],en,#TheGameAwards
"Oh my god if you tap the like button on this tweet you will get a really cool animation! 🫣
 #TheGameAwards https://t.co/UrvqI57jzN",['TheGameAwards'],en,#TheGameAwards
Gta 6 winning an award &amp; its not even out yet #TheGameAwards https://t.co/fKcnv60biw,['TheGameAwards'],en,#TheGameAwards
"aqui acabou 

#TheGameAwards 
#ELDENRING https://t.co/klx1PDbjWE","['TheGameAwards', 'ELDENRING']",pt,#TheGameAwards
GTA 6 won before we got GTA 6 #TheGameAwards https://t.co/9KyKaD5wEF,['TheGameAwards'],en,#TheGameAwards
#TheGameAwards custom like animation https://t.co/v1pxJSuNk9,['TheGameAwards'],en,#TheGameAwards
"Mafia: The Old Country arrives Summer 2025. 

Wishlist now: https://t.co/GdFLSdb4OO

#MafiaTheOldCountry | #TheGameAwards https://t.co/Z9sUH4hbmG","['MafiaTheOldCountry', 'TheGameAwards']",en,#TheGameAwards
Red carpet #TheGameAwards https://t.co/ylpcN3alH4,['TheGameAwards'],en,#TheGameAwards
"#TheGameAwards 

Marvel’s #Blade game will be a PC and XBOX exclusive

PlayStation gamers:

https://t.co/19gVqFBTY5","['TheGameAwards', 'Blade']",en,#TheGameAwards
#TheGameAwards when a studio takes too long during their acceptance speech: https://t.co/l37nXL6btm,['TheGameAwards'],en,#TheGameAwards
People from all over the world fell to their knees after Twenty One Pilots' performance of their song 'The Line' for the Arcane Season 2 Soundtrack at #TheGameAwards https://t.co/dQaDE9m4wq,['TheGameAwards'],en,#TheGameAwards
"THE WITCHER 4 !!!!!!!!!!!!!!!!!!!!

#TheGameAwards https://t.co/wZHf9hJxLx",['TheGameAwards'],en,#TheGameAwards
Production is about to begin on Okami Sequel! We are so ready to experience the next evolution of this thrilling universe. @OkamiOfficial #TheGameAwards https://t.co/ildklvg87z,['TheGameAwards'],en,#TheGameAwards
"Ella Purnell on my screen, #TheGameAwards  is a 10/10 in my books.

 https://t.co/DYgccubQqI",['TheGameAwards'],en,#TheGameAwards
"Witcher fans seeing Witcher 4 announced
 #TheGameAwards https://t.co/e1UHFJY8ey",['TheGameAwards'],en,#TheGameAwards
"What a good sport she is. Well done, Pekora, it's an honor to be nominated. Grats Caseoh!

Also, I love the way Geoff says her name lol
#TheGameAwards #ぺこらいぶ https://t.co/4M2y8LrKA1","['TheGameAwards', 'ぺこらいぶ']",en,#TheGameAwards
"Witcher fans seeing the Witcher 4 trailer drop 
 #TheGameAwards https://t.co/PE4t719aXa",['TheGameAwards'],en,#TheGameAwards
This had me floating holy shit  #TheGameAwards https://t.co/ia9lAaePDY,['TheGameAwards'],en,#TheGameAwards
IT'S THE FUCKING FIRE KEEPER FROM DARK SOULS 3 ???????? #TheGameAwards https://t.co/hITAHpDqX5,['TheGameAwards'],en,#TheGameAwards
"Okami is officially getting a sequel, directed by Hideki Kamiya.

#TheGameAwards https://t.co/sMi0SEgL20",['TheGameAwards'],en,#TheGameAwards
"Feast your eyes on the most ambitious Borderlands game yet! Wishlist Borderlands 4 now!

https://t.co/T9YyGIjTPB | #Borderlands4 | #TheGameAwards https://t.co/Jmjm0NuvbC","['Borderlands4', 'TheGameAwards']",en,#TheGameAwards
"#TheGameAwards Best Adaptation

'FALLOUT' 🏆 https://t.co/CWuRKQY8nd",['TheGameAwards'],en,#TheGameAwards
"Hit The ❤ For Special Animation!

#TheGameAwards (🇺🇸 only) https://t.co/EClbuDCRiH",['TheGameAwards'],en,#TheGameAwards
"The past 10 Game of the Year winners at #TheGameAwards 

What's the best game here? 🎮 https://t.co/eRLhMY4MKG",['TheGameAwards'],en,#TheGameAwards
"#TheGameAwards 

Crowd shots during snoop dogg be like https://t.co/con8XJNiET",['TheGameAwards'],en,#TheGameAwards
JAYVIK AT THE GAME AWARDS #jayvik #TheGameAwards https://t.co/xKrRLzho7n,"['jayvik', 'TheGameAwards']",en,#TheGameAwards
Me watching the #TheGameAwards just to see a random indie game nobody heard of win Game Of The Year https://t.co/wChlqx3gxy,['TheGameAwards'],en,#TheGameAwards
"WITCHER 4 ANNOUNCEMENT OH MY GOD. HELL YEAH

I LOVE SEEING CDPR ON MY SCREEN #TheGameAwards https://t.co/TcY8jEZsRu",['TheGameAwards'],en,#TheGameAwards
my reactions to #TheGameAwards https://t.co/NsFCvLox3c,['TheGameAwards'],en,#TheGameAwards
"Me Rolling up to #TheGameAwards hoping for Kingdom Hearts 4, knowing full well it ain't gonna be there.... https://t.co/7tpyuvgUuS",['TheGameAwards'],en,#TheGameAwards
Christopher Judge roasts Call of Duty at #TheGameAwards https://t.co/4GfGpPsMlS,['TheGameAwards'],en,#TheGameAwards
"OKAMI 2

AFTER 18 YEARS

😭😭😭😭

#TheGameAwards https://t.co/1Dnn5TFY3L",['TheGameAwards'],en,#TheGameAwards
"Waiting for the game awards to begin be like..

#TheGameAwards https://t.co/AFWticNeMb",['TheGameAwards'],en,#TheGameAwards
"『鬼武者』新作発表！！ 『鬼武者 WAY OF THE SWORD』2026年に発売へ
https://t.co/7rloDzmXtC

#TheGameAwards https://t.co/leOtdaFGbk",['TheGameAwards'],ja,#TheGameAwards
"‘SPIDER-MAN 2’ won 0 awards at #TheGameAwards

It was nominated for 7. https://t.co/QwKzhk9KRw",['TheGameAwards'],en,#TheGameAwards
"‘God of War Ragnarok — Valhalla’ releases December 12 

It’s a free DLC

#TheGameAwards https://t.co/pG5xSz9nMY",['TheGameAwards'],en,#TheGameAwards
