text,all_hashtags,lang,hashtag
"Sony tech support, whenever Playstation launches something online:
#PlaystationWrapUp https://t.co/yy8J0GMohE",['PlaystationWrapUp'],en,#playstationwrapup
"Here's my 2024 PlayStation Wrap Up. I was gaming HEAVY in 2024! 

#PlayStationWrapUp https://t.co/09qRxOgujU",['PlayStationWrapUp'],en,#playstationwrapup
"My Playstation Wrap Up 2024 🎮
Pretty solid performance from me this year 😂 #PS5 #playstationwrapup https://t.co/QOYEcSeVKC","['PS5', 'playstationwrapup']",en,#playstationwrapup
#playstationwrapup 🥲 https://t.co/S1H6ZgzJ0z,['playstationwrapup'],qme,#playstationwrapup
"My PlayStation Warp up Not too bad 💪

#PlayStationWrapUp https://t.co/jXmoZ1zl6R",['PlayStationWrapUp'],en,#playstationwrapup
My 2024 Wrapup.  #playstationwrapup https://t.co/aWhq3WVprX,['playstationwrapup'],en,#playstationwrapup
Ya puedes conocer cómo ha sido tu 2024 en PlayStation 😎¡Descubre tu resumen de estadísticas anuales!🎮 ¿Qué resultado te ha salido? Entra en la web y comparte tu resumen con #PlayStationWrapUp 👉https://t.co/sSfXIhZHHV https://t.co/trBBEG5kjJ,['PlayStationWrapUp'],es,#playstationwrapup
"Por aquí os dejo mi #PlayStationWrapUp. Este año he podido revivir recuerdos muy importantes de mi vida con Final Fantasy VII Rebirth ☄️

Y no se ha notado nada… ¿Verdad? 🙄

Por otro 2025 cargado de horas de diversión en @PlayStationES 🏆 https://t.co/jY0jG75bph",['PlayStationWrapUp'],es,#playstationwrapup
My #PlayStationWrapUp is embarrassing this year. I know my consoles have become all but exclusives machines and I do the vast majority of my gaming on PC but it’s wild how low my numbers are (even in those parameters). Gotta work on my console backlog more to finish out the year! https://t.co/CNhIP0QEMW,['PlayStationWrapUp'],en,#playstationwrapup
"84 days of gaming in 2024 lmao 😭

#PlayStationWrapUp2024 #playstationwrapup #100TCIA https://t.co/MaXsQKslO8","['PlayStationWrapUp2024', 'playstationwrapup', '100TCIA']",en,#playstationwrapup
"J'ai rarement vu un top 5 aussi qualitatif. 

#playstationwrapup https://t.co/iFRVd8Oqvp",['playstationwrapup'],fr,#playstationwrapup
"#playstationwrapup 
Petit résumé de 2024 sur ma play 🫶🏻 https://t.co/1qcfAdgP7c",['playstationwrapup'],fr,#playstationwrapup
